TransactionID,Date,ProductID,ProductName,ProductCategory,Quantity,Price
T1073,2024-01-23,P015,Potato Chips,Snacks,1,3.50
T1073,2024-01-23,P035,Bottled Water,Beverages,2,5.99
T1074,2024-01-24,P048,White Bread,Bakery,1,3.50
T1074,2024-01-24,P038,Mayonnaise,Condiments,1,4.99
T1075,2024-01-24,P001,Premium Coffee,Beverages,1,12.99
T1075,2024-01-24,P004,Coffee Filters,Accessories,1,2.50
T1076,2024-01-24,P022,Yogurt,Dairy,3,1.25
T1076,2024-01-24,P051,Mixed Nuts,Snacks,1,8.99
T1077,2024-01-25,P072,Fresh Chicken,Meat,1,12.99
T1077,2024-01-25,P073,BBQ Sauce,Condiments,1,3.99
T1078,2024-01-25,P001,Premium Coffee,Beverages,2,12.99
T1078,2024-01-25,P002,Organic Milk,Dairy,1,4.50
T1079,2024-01-25,P005,Whole Wheat Bread,Bakery,1,4.75
T1079,2024-01-25,P006,Peanut Butter,Spreads,1,5.99
T1080,2024-01-26,P074,Light Bulbs,Household,1,8.99
T1080,2024-01-26,P075,Batteries,Household,1,7.50
T1081,2024-01-26,P001,Premium Coffee,Beverages,1,12.99
T1081,2024-01-26,P004,Coffee Filters,Accessories,1,2.50
T1082,2024-01-26,P010,Organic Apples,Produce,4,1.25
T1082,2024-01-26,P011,Bananas,Produce,3,0.60
T1083,2024-01-27,P014,Chocolate Chip Cookies,Snacks,1,3.99
T1083,2024-01-27,P002,Organic Milk,Dairy,1,4.50
T1084,2024-01-27,P001,Premium Coffee,Beverages,1,12.99
T1084,2024-01-27,P003,Sugar,Baking,1,3.25
T1085,2024-01-27,P013,Cereal,Breakfast,1,4.25
T1085,2024-01-27,P002,Organic Milk,Dairy,1,4.50
T1086,2024-01-28,P076,Carrots,Produce,1,2.50
T1086,2024-01-28,P077,Celery,Produce,1,2.99
T1086,2024-01-28,P078,Onions,Produce,1,1.99
T1087,2024-01-28,P001,Premium Coffee,Beverages,1,12.99
T1087,2024-01-28,P002,Organic Milk,Dairy,1,4.50
T1088,2024-01-28,P016,Salsa,Condiments,1,4.25
T1088,2024-01-28,P017,Tortilla Chips,Snacks,1,3.75
T1089,2024-01-29,P079,Microwave Popcorn,Snacks,2,3.50
T1089,2024-01-29,P080,Soda,Beverages,1,4.99
T1090,2024-01-29,P001,Premium Coffee,Beverages,1,12.99
T1090,2024-01-29,P004,Coffee Filters,Accessories,1,2.50
T1091,2024-01-29,P005,Whole Wheat Bread,Bakery,1,4.75
T1091,2024-01-29,P049,Sliced Turkey,Deli,1,7.99
T1092,2024-01-30,P081,Granola Bars,Snacks,1,4.50
T1092,2024-01-30,P082,Trail Mix,Snacks,1,5.99
T1093,2024-01-30,P001,Premium Coffee,Beverages,1,12.99
T1093,2024-01-30,P002,Organic Milk,Dairy,1,4.50
T1094,2024-01-30,P013,Cereal,Breakfast,1,4.25
T1094,2024-01-30,P035,Bottled Water,Beverages,1,5.99
T1095,2024-01-31,P007,Strawberry Jam,Spreads,1,4.50
T1095,2024-01-31,P005,Whole Wheat Bread,Bakery,1,4.75
T1096,2024-01-31,P001,Premium Coffee,Beverages,2,12.99
T1096,2024-01-31,P004,Coffee Filters,Accessories,1,2.50
T1097,2024-01-31,P064,Toilet Paper,Household,1,9.99
T1097,2024-01-31,P018,Paper Towels,Household,1,8.99
T1098,2024-01-31,P010,Organic Apples,Produce,2,1.25
T1098,2024-01-31,P011,Bananas,Produce,4,0.60
